# https://wiki.pcsx2.net/Complete_List_of_Games + https://wiki.pcsx2.net/Complete_List_of_Demos_and_Tool_Discs
# Title;ID
!Que Pasa Neng!;SLES-54604
.hack//Fragment;SLPS-25527
.hack//G.U. vol. 1//Rebirth;SLUS-21258, SLUS-21480 (Special Edition), SLUS-29199 (Demo) SLPS-25651, SLPS-25652 (Terminal Disc), SLPS-25755 (Welcome Price), SLPS-25756 (Welcome Price), SLPS-73259 (PlayStation 2 the Best)
.hack//G.U. vol. 2//Reminisce;SLUS-21488 SLPS-25655, SLPS-73266 (PlayStation 2 the Best)
.hack//G.U. vol. 3//Redemption;SLUS-21489 SLPS-25656, SLPS-73267 (PlayStation 2 the Best)
.hack//Infection Part 1;SLUS-20267, SLUS-29042 (Regular Demo), SLUS-28023 (Trade Demo) SLES-52237 SLPS-25121, SLKA-25080, SCPS-55029
.hack//Mutation Part 2;SLUS-20562, SLUS-29055 (Regular Demo), SLUS-28032 (Trade Demo) SLES-52467 SLPS-25143, SLKA-25138, SCPS-55042
.hack//Outbreak Part 3;SLUS-20563, SLUS-29065 (Demo) SLES-52469 SLPS-25158, SLKA-25145, SCAJ-20004
.hack//Quarantine Part 4;SLUS-20564, SLUS-29084 (Demo) SLES-52468 SLPS-25202, SCAJ-20024, SLKA-25174
.hack//Vol. 1 x Vol. 2;SLPS-73230 (PlayStation 2 the Best), SLPS-73231 (PlayStation 2 the Best)
.hack//Vol. 3 x Vol. 4;SLPS-73232 (PlayStation 2 the Best), SLPS-73233 (PlayStation 2 the Best)
0 Story;SLPM-65002 (Disc 1), SLPM-65003 (Disc 2), SLPM-60101 (Demo, Taikenban)
007: NightFire;SLUS-20579 SLES-51258, SLES-51258/P (Platinum), SLES-51260, SLES-51260-P SLPS-25203, SLPM-65538 (EA Best Hits), SLKA-25004
007: Quantum of Solace;SLUS-21813 SLES-55345 SLPM-55148
10 Pin: Champions Alley;SLES-53150
10,000 Bullets;SLES-53481 SLPM-65826, TCPS-10097, SLKA-25261 (Korea), SLPM-66599 (Taito Best), TCPS-10171 (Taito Best), SCAJ-20114, SLPM-61102 (Trial)
10th Anniversary PlayStation & PlayStation 2 All Soft Catalogue Special SaveData Collection;SLPM-60262 (PS2 SaveData Disc)
120-en no Haru;SLPM-65843
12Riven: The Psi-Climinal of Integral;SLPM-66901, CF00-15024 (Soundtrack Edition)
18 Wheeler: American Pro Trucker;SLUS-20210 SLES-50214, SLES-51214 SLPM-62211
187 Ride or Die;SLUS-21116 SLES-52276 
1945 I&II The Arcade Games;SLES-51741 SLPM-62515, TCPS-10087, SLKA-15005 (Korea), SLPM-62653 (Taito Best), TCPS-10118 (Taito Best), SCAJ-10009
2002 FIFA World Cup;SLUS-20404 SLES-50798, SLES-50796, SLES-50797, SLES-50799, SLES-50800, SLES-50801 SLPM-67512 (Korea), SLPS-25118
2003-Toshi Kaimaku - Ganbare Kyuukaiou;SLPM-62320
21 Card Games;SLES-53357
24: The Game;SLUS-21268 SCES-53358, SCES-53358-P (Platinum), SCED-53622 (Demo)
25 to Life;SLUS-21016, SLUS-29129 (Public Beta Vol.1.0) SLES-53199
3 Title Special Disc;PCPX-96328
3-Nen B-Gumi Kinpachi Sensei: Densetsu no Kyoudan ni Tate!;SLPS-25357, SLPM-66089 (Complete Edition)
3LDK: Shiawase ni Narouyo;SLPM-65608, SLPM-65607 (Limited Edition)
4X4 EVO 2;SLES-51199
4x4 Evolution;SLUS-20091 SLES-50194
50 Cent: Bulletproof;SLUS-21315, SLUS-21315GH (Greatest Hits) SLES-53734, SLES-53994, SLES-53734-P (Platinum), SLES-53906, SLES-53994-P (Platinum)
7 Blades;SLES-50109 SLPM-65008, VW021-J1, SLPM-65057 (Konami the Best), VW021-J2 (Konami the Best)
7 Sins;SLES-53364, SLES-53280, SLES-53297
7 Wonders of the Ancient World;SLUS-21693 SLES-55069
989 Sports 2003 Demo Disc;SCUS-94677
